Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points,Salary
Ronnie Price,31,LAL,43,69,165,67,4,52,221,1316809
Ronny Turiaf,32,MIN,2,1,2,0,0,0,0,1500000
Roy Hibbert,28,IND,76,540,84,18,125,107,802,14898938
Rudy Gay,28,SAC,68,399,250,71,41,183,1432,19317326
Rudy Gobert,22,UTA,82,775,109,64,189,111,686,1127400
Russ Smith,23,TOT,12,6,8,3,0,12,30,507336
Russell Westbrook,26,OKC,67,488,574,140,14,293,1886,15719062
Ryan Anderson,26,NOP,61,295,55,33,20,62,833,8491500
Ryan Hollins,30,SAC,46,103,14,6,19,25,137,1316809
Ryan Kelly,23,LAL,52,146,92,30,24,37,332,1650000
Samuel Dalembert,33,NYK,32,168,29,14,41,39,128,3867282
Sean Kilpatrick,25,MIN,4,6,4,3,0,2,22,35000
Sebastian Telfair,29,OKC,16,30,45,10,0,18,134,1316809
Serge Ibaka,25,OKC,64,499,55,30,155,97,917,12350000
Sergey Karasev,21,BRK,33,66,46,23,1,24,153,1533840
Seth Curry,24,PHO,2,2,1,0,0,0,0,100000
Shabazz Muhammad,22,MIN,38,154,44,18,7,35,512,1971960
Shabazz Napier,23,MIA,51,113,130,40,4,81,261,1238640
Shane Larkin,22,NYK,76,176,226,93,9,83,470,1606080
Shannon Brown,29,MIA,5,1,3,4,0,4,20,1310286
Shaun Livingston,29,GSW,78,183,259,49,20,102,461,5305000
Shavlik Randolph,31,TOT,21,38,4,5,3,3,24,1227985
Shawn Marion,36,CLE,57,202,51,27,27,33,276,1448490
Shawne Williams,28,TOT,63,166,44,25,21,30,341,1227985
Shayne Whittington,23,IND,20,29,6,5,2,5,57,507336
Shelvin Mack,24,ATL,55,79,155,30,2,49,299,2433333
Sim Bhullar,22,SAC,3,1,1,0,1,0,2,29843
Solomon Hill,23,IND,82,314,184,66,18,115,729,1302840
Spencer Dinwiddie,21,DET,34,48,104,19,6,33,145,700000
Spencer Hawes,26,LAC,73,258,88,24,53,61,425,5871309
Stephen Curry,26,GSW,80,341,619,163,16,249,1900,10629213
Steve Blake,34,POR,81,137,288,41,5,104,350,2077000
Steve Novak,31,TOT,35,22,11,0,2,5,63,3445947
Steven Adams,21,OKC,70,523,66,38,86,99,537,2184960
T.J. Warren,21,PHO,40,85,25,18,9,27,245,1953120
Taj Gibson,29,CHI,62,396,71,36,75,77,640,8000000
Tarik Black,23,TOT,63,368,42,19,24,48,379,507336
Tayshaun Prince,34,TOT,58,210,93,29,16,35,434,7707865
Terrence Jones,23,HOU,33,220,36,18,59,37,386,1618680
Terrence Ross,23,TOR,82,226,86,53,25,69,807,2793960
Thabo Sefolosha,30,ATL,52,223,75,53,21,38,278,4150000
Thaddeus Young,26,TOT,76,411,173,124,25,117,1071,9660869
Thomas Robinson,23,TOT,54,303,33,32,20,59,308,3678360
Tiago Splitter,30,SAS,52,252,78,35,37,60,428,9250000
Tim Duncan,38,SAS,77,704,230,63,151,131,1070,10361446
Tim Frazier,24,TOT,11,28,60,8,0,25,57,50734
Tim Hardaway,22,NYK,70,156,127,20,14,82,804,1250640
Timofey Mozgov,28,TOT,81,591,55,33,97,116,785,4650000
Tobias Harris,22,ORL,68,430,124,69,36,115,1164,2380594
Toney Douglas,28,NOP,12,22,24,11,4,10,51,143870
Tony Allen,33,MEM,63,280,86,129,30,86,539,4831461
Tony Parker,32,SAS,68,129,335,44,2,146,976,12500000
Tony Snell,23,CHI,72,176,62,32,11,48,435,1472400
Tony Wroten,21,PHI,30,86,157,48,8,113,507,1210080
Toure' Murry,25,TOT,5,1,1,1,0,4,6,1000000
Travis Wear,24,NYK,51,106,40,15,11,35,199,507336
Trevor Ariza,29,HOU,82,459,209,152,17,141,1048,8579089
Trevor Booker,27,UTA,79,397,83,43,41,88,567,5000000
Trey Burke,22,UTA,76,204,328,65,15,124,973,2548560
Tristan Thompson,23,CLE,82,657,39,34,61,83,693,5138430
Troy Daniels,23,TOT,47,33,22,6,1,20,176,816482
Ty Lawson,27,DEN,75,234,720,92,9,185,1143,11595506
Tyler Ennis,20,TOT,33,35,73,18,5,42,121,1590720
Tyler Hansbrough,29,TOR,74,265,21,30,15,20,270,3326235
Tyler Johnson,22,MIA,32,81,42,33,9,30,190,199950
Tyler Zeller,25,BOS,82,465,113,18,52,76,833,1703760
Tyreke Evans,25,NOP,79,416,521,100,37,246,1313,11265416
Tyrus Thomas,28,MEM,2,0,1,0,0,0,4,9388000
Tyson Chandler,32,DAL,75,864,84,42,91,105,771,14846887
Udonis Haslem,34,MIA,62,258,46,21,13,41,261,2732000
Vander Blue,22,LAL,2,9,8,3,0,6,22,14409
Victor Claver,26,POR,10,20,1,1,1,4,24,1370000
Victor Oladipo,22,ORL,72,302,295,120,19,204,1292,4978200
Vince Carter,38,MEM,66,133,79,43,14,43,384,3911981
Wayne Ellington,27,LAL,65,210,105,33,2,50,650,1063384
Wesley Johnson,27,LAL,76,319,124,59,45,87,753,981084
Wesley Matthews,28,POR,60,222,139,77,10,81,956,7245640
Will Barton,24,TOT,58,162,81,48,19,61,397,915243
Will Bynum,32,WAS,7,6,18,1,1,8,22,2915908
Will Cherry,23,CLE,8,5,8,6,1,4,15,507336
Willie Green,33,ORL,52,79,68,26,5,48,306,1448490
Wilson Chandler,27,DEN,78,475,134,58,29,110,1085,6757913
Xavier Henry,23,LAL,9,4,3,3,0,3,20,1082000
Zach LaVine,19,MIN,77,214,276,54,10,193,778,2055840
Zach Randolph,33,MEM,71,747,153,69,14,156,1143,16500000
Zaza Pachulia,30,MIL,73,500,178,80,21,133,606,5200000
Zoran Dragic,25,TOT,16,8,5,2,0,5,28,1962103
