Country﻿,Energy Production Total (million metric tons of oil equivilent),% of total energy use that is fossil fules,% of total energy use that is alternative and nuclear
St. Martin (French part),..,..,..
St. Vincent and the Grenadines,..,..,..
Sudan,16.3,31.7,4.4
Suriname,1,76.3,15.2
Sweden,37.7,25.1,43.2
Switzerland,12.2,50.2,39.9
Syrian Arab Republic,5.6,97.8,1.4
Tajikistan,1.8,46,37.5
Tanzania,22.2,14.4,0.7
Thailand,78.7,79.8,1.1
Timor-Leste,..,..,..
Togo,2.6,17.8,2.4
Tonga,..,..,..
Trinidad and Tobago,39.7,99.9,0
Tunisia,6.7,88.9,0.8
Turkiye,32.2,86.8,6.7
Turkmenistan,78,..,0
Turks and Caicos Islands,..,..,..
Tuvalu,..,..,..
Uganda,..,..,..
Ukraine,76.9,75.3,22.5
United Arab Emirates,200,86.1,0.1
United Kingdom,117.7,80.4,13.1
United States,"2,022.80",82.4,11.9
Uruguay,2.6,46.3,14.8
Uzbekistan,55.8,97.7,1.9
Vanuatu,..,..,..
"Venezuela, RB",185.7,88.4,8.2
Viet Nam,71.2,69.8,6.9
Virgin Islands (U.S.),..,..,..
West Bank and Gaza,..,..,..
"Yemen, Rep.",16.1,98.5,0
Zambia,9.1,10.6,9.7
Zimbabwe,11.5,29.1,3.3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
