ID Number,Name,Host ID Number,Host Name,Neighbourhood,Latitude,Longitude,Room Type,Price,Number of Days Available per Year
478652,Fenway Rm - Int'l House near Tufts,361955,Nanan,North Cambridge,42.39807,-71.10281,Private room,66,247
478750,Newport Rm - Int'l House near Tufts,361955,Nanan,North Cambridge,42.3978,-71.10269,Private room,81,264
479364,Berkshire Rm-Int'l House near Tufts,361955,Nanan,North Cambridge,42.39898,-71.10338,Private room,86,272
577384,Large Room with Shared Bath,229956,Adam,The Port,42.36613,-71.09883,Private room,39,0
611081,Houseboat in Boston Harbor,3029783,Deborah,East Cambridge,42.37579,-71.04981,Entire home/apt,308,333
619142,Getaway in Historic Charlestown,501427,Joe,East Cambridge,42.377338,-71.063095,Entire home/apt,175,239
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,East Cambridge,42.37103,-71.07557,Private room,188,365
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,East Cambridge,42.37926,-71.06364,Entire home/apt,200,248
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate,North Cambridge,42.39346,-71.13137,Entire home/apt,266,144
742574,See Yourself in Central Square,1152305,Greg,The Port,42.36545,-71.10268,Entire home/apt,160,95
766700,"N4 Little Italy, Historic, Freedom Trail,TD Garden",3637081,Sarah,East Cambridge,42.3657,-71.05618,Entire home/apt,205,185
789843,One Bedroom Condo with Private Roof Deck,4161865,Ally,Area 2/MIT,42.35244,-71.0852,Entire home/apt,224,67
815639,"N1 Lil Italy, Historic, Freedom Trail, TD Garden",3637081,Sarah,East Cambridge,42.36695,-71.05601,Entire home/apt,211,177
860634,Home on quiet street near Harvard,4507945,Deborah,Agassiz,42.38373,-71.11424,Private room,70,83
863788,"Walk everywhere! South End w/Roof deck. 2BR, 2bath",775932,Andy & Daljit,Area 2/MIT,42.344162,-71.070381,Entire home/apt,534,1
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,East Cambridge,42.3665,-71.05296,Entire home/apt,145,43
910408,School Term Housing in Mid Cambridge MA!,4883794,Melissa,Mid-Cambridge,42.37136,-71.10781,Entire home/apt,100,27
916123,"N3 Little Italy Historic, Freedom Trail, TD Garden",3637081,Sarah,East Cambridge,42.36541,-71.05404,Entire home/apt,205,177
930906,"Room 10 at Coolidge Corner, Brookli",5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,90,207
931151,"room 1at Coolidge corner, Brookline",5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,125,327
931260,Grad pad #12 at Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,90,265
931295,"room 3at Coolidge corner, Brookline",5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,125,278
931311,"rm 11 at Coolidge corner, Brookline",5014042,Yue Jin,Cambridgeport,42.33949,-71.12628,Private room,90,88
931314,"Grad pad #9 at Coolidge Corner,",5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,90,233
977860,Bedroom near Longwood Hospitals w/private balcony.,5350366,Scott,Cambridgeport,42.33485,-71.11525,Private room,50,265
978507,"room 6 at Coolidge Corner, Brooklin",5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,85,274
984992,Home Away from Home BED and BATH,342545,Anjana And Karthik,Wellington-Harrington,42.38915,-71.09166,Private room,51,222
989163,"The Dalton | The Upton, South End",5430185,Laura And Olivia,Area 2/MIT,42.34308,-71.07316,Entire home/apt,220,39
1054635,"Sunny, lg 1-br, heart of Cambridge",3087212,Eleanor,Mid-Cambridge,42.37285,-71.11263,Entire home/apt,130,175
1066808,Best House Cambridge/Somerville,5869562,Susan,Agassiz,42.3807,-71.10906,Entire home/apt,451,306
1074146,Home Away from Home in Davis Square,2190792,Frank,North Cambridge,42.39906,-71.12685,Entire home/apt,200,0
1097262,Harvard/MIT/BU/Central Square Room,6030020,Jason,Cambridgeport,42.35734,-71.10973,Private room,130,336
1106258,"Furnished Private cozyroom,walk toT-bus2MIt Harvrd",342545,Anjana And Karthik,Wellington-Harrington,42.39112,-71.09074,Private room,50,21
1130279,**Back to AirBnB** 3BR North End -Perfect Location,2494599,Trisha,East Cambridge,42.36489,-71.05198,Entire home/apt,571,269
1140201,"Great Room Near Harvard/MIT/BU, bikes available",6030020,Jason,Cambridgeport,42.35966,-71.10854,Private room,130,329
1141088,MIT/Harvard/Inman- 2 Bedroom Apt.,2530211,Erin,Wellington-Harrington,42.37324,-71.09635,Entire home/apt,179,192
1152054,"Furnished Room walk to orangeT bus 2 harvard , MIT",342545,Anjana And Karthik,Wellington-Harrington,42.38901,-71.09069,Private room,48,273
1154298,Quiet private room in N. Cambridge,6325607,John,North Cambridge,42.39892,-71.13527,Private room,65,304
1167804,SHRINE OF THE RED DIAMOND (無爲 - “DP”),742815,“Jon”,East Cambridge,42.38423,-71.08608,Shared room,10,153
1167970,SHRINE OF THE RED DIAMOND (नेति नेति - “DP”),742815,“Jon”,East Cambridge,42.38611,-71.08585,Shared room,10,153
1168079,SHRINE OF THE RED DIAMOND (無心の心 - “DP”),742815,“Jon”,East Cambridge,42.38581,-71.08421,Shared room,10,153
1193862,Middle Room in Shared Apt,229956,Adam,The Port,42.36669,-71.10025,Private room,35,0
1193875,Large Downstairs Room,229956,Adam,The Port,42.36608,-71.10054,Private room,39,0
1203031,Corner Room in Shared Apt,229956,Adam,The Port,42.3656,-71.10097,Private room,32,78
1209487,Somerville/Cambridge private room,9563463,Sara,Wellington-Harrington,42.37724,-71.09783,Private room,125,321
1209491,Cambridge/Somerville private room,9563463,Sara,Wellington-Harrington,42.37541,-71.09779,Private room,125,294
1215512,Minutes to Harvard Square,2066283,Roger,Strawberry Hill,42.37656,-71.15029,Entire home/apt,174,339
1216161,"Spacious townhouse in Cambridge, MA",6636728,Nomeda,Mid-Cambridge,42.3757,-71.1086,Entire home/apt,135,99
1225831,Victorian Charm MIT/Harvard/Kendall/Central-1BR,3380576,Paul,The Port,42.36665,-71.09823,Entire home/apt,134,230
1275498,"The Washington | The Upton, South End",5430185,Laura And Olivia,Area 2/MIT,42.34294,-71.07304,Entire home/apt,238,32
1279548,Cambridge / Somerville get away,6962693,Holly,Agassiz,42.38684,-71.11494,Entire home/apt,125,262
1303261,Historic Beacon Hill,2120816,Larry,Area 2/MIT,42.35714,-71.06968,Entire home/apt,425,358
1341022,"Long term only, Modern Entire Condo MIT/MGH $3600",6619766,C,The Port,42.36721,-71.0949,Entire home/apt,134,276
1360739,Stylish Brookline 2-Bed Condo by Fenway & Longwood,6102813,Mark,Area 2/MIT,42.33607,-71.11258,Entire home/apt,375,327
1365649,Victorian Arlington Apt. Near Cambridge & Transit,7412616,Jennifer,North Cambridge,42.40451,-71.13559,Entire home/apt,157,116
1382718,SHRINE OF THE RED DIAMOND (אין סוף - “DP”),742815,“Jon”,East Cambridge,42.38617,-71.08556,Shared room,10,153
1404377,Renovated Brownstone - MIT/Kendall Square,7579202,Jenny,East Cambridge,42.36892,-71.08496,Private room,140,0
1406416,City living at its finest!,7579202,Jenny,East Cambridge,42.37121,-71.08116,Private room,140,0
1410594,Lovely 2BR Union Sq. Davis/Porter/Harvard/Inman,3714464,Eric,Wellington-Harrington,42.37820147855557,-71.08920048,Entire home/apt,245,0
1425973,Historic brick Victorian row house,1015632,Viktoria,Area 2/MIT,42.34164,-71.07964,Private room,349,74
1445064,Bright Sunlit bedroom near Spaulding/Downtown,4724006,Rosalia,East Cambridge,42.38017,-71.06236,Private room,52,84
1450370,Lovely Loft Room in Cambridge. Close to Subway!!,6839881,Lisan,Neighborhood Nine,42.38792,-71.12732,Private room,72,22
1459400,One bedroom in a cool Apt close to Harvard Square!,7822039,Adriana,Strawberry Hill,42.37319,-71.15182,Private room,83,310
1482556,Room 5,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,95,233
1482602,"Room14  At Coolidge Corner,",5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,100,232
1482606,"Room 8 at Coolidge Corner, Brooklin",5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,98,0
1482608,Room 4 at  Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,125,289
1541166,Beautiful Studio 15 min to Downtown,552418,Vanya,East Cambridge,42.38324,-71.07852,Entire home/apt,109,43
1544144,Charming Historic Home in Charlestown,7353037,Nancy And Tom,East Cambridge,42.37243,-71.06349,Entire home/apt,350,96
1551205,2 bed/2 bath in the heart of Boston,8261931,Hamed,Area 2/MIT,42.34175,-71.08359,Entire home/apt,415,364
1574583,"Near Harvard, MIT 1/F 1Br Suite Apt",7918311,Dina,Agassiz,42.38252,-71.09965,Entire home/apt,195,143
1596470,4-story Central Luxury-two blocks to Boston Common,480310,Michael,Area 2/MIT,42.34988,-71.06918,Entire home/apt,550,38
1632003,2 Cozy Rooms Near Harvard Square,8530114,Colleen,Mid-Cambridge,42.37303,-71.10539,Private room,225,32
1711476,"Serene & cozy 1BR oasis, walk to  Harvard Square!",3402394,Case,Mid-Cambridge,42.37301,-71.1041,Entire home/apt,110,228
1712936,"Tufts, Harvard, Davis Square- airy, bright suite",9034440,Denis,North Cambridge,42.40168,-71.12098,Private room,72,152
1755927,Nr Harvard MIT Ctr AC W/D in unit 3Fl Bright 2BApt,7918311,Dina,Agassiz,42.38229,-71.10079,Entire home/apt,249,160
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,Area 2/MIT,42.34279,-71.0711,Entire home/apt,1067,103
1815326,Back Bay Elegance in Brighton,9508341,Phyllis,Strawberry Hill,42.3569,-71.1624,Private room,99,83
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,Area 2/MIT,42.34981,-71.09476,Entire home/apt,275,362
1840256,Spacious Cambridge 1BR near Kendall Square & MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,329,3
1854010,"Spacious, bright, modern, private.",9678965,Don,Strawberry Hill,42.37205,-71.16974,Entire home/apt,182,142
1855969,Lux 2 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,469,365
1893287,Bright Convenient Apt Harvard / MIT,9553483,Jookun,The Port,42.36571,-71.1023,Entire home/apt,145,197
1913142,"Sunny, beautiful, cozy and spacious Cambridge apt.",6163908,Thorsten,North Cambridge,42.39941,-71.13521,Entire home/apt,335,345
1934073,"CDC Cleaning, BU+Longwood+Parking 1bdrm+sofa bed",546854,Sanjay,Cambridgeport,42.34962,-71.11661,Entire home/apt,185,31
1935343,"Cute, clean & it’s all yours-1 bed- great location",10014448,Lucia,Cambridgeport,42.35715,-71.11026,Entire home/apt,145,253
1984737,Charming Harvard Victorian,8824696,Steve,West Cambridge,42.38248,-71.13545,Entire home/apt,468,290
2030680,Cozy Room in a Charming Townhouse,10427720,Gosia,Strawberry Hill,42.37837,-71.15249,Private room,125,302
2038283,Stay Across from Harvard's Campus!,4521987,Kris,Mid-Cambridge,42.37247,-71.11381,Entire home/apt,140,3
2075647,Eco-Bohemian Boston Hideaway in East Somerville,9623536,Mary,Wellington-Harrington,42.38888,-71.09235,Private room,98,48
2092181,Haven in Cambridge (entire place!),10641173,Randi,Wellington-Harrington,42.37312,-71.0901,Entire home/apt,125,0
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,Area 2/MIT,42.35771,-71.06978,Entire home/apt,165,89
2147504,Lovely bedroom in great home,10961675,Laurie,Strawberry Hill,42.3737,-71.17399,Private room,85,167
2176599,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,329,3
2183058,Historic Boston North End Condo,11132080,Cindy & Mark,East Cambridge,42.36446,-71.05429,Entire home/apt,195,174
2183117,I bdrm in Boston/Allston/Brookline,11132354,Alla,Cambridgeport,42.34995,-71.13427,Entire home/apt,110,90
2206750,"Sunny, private & peaceful",5508811,Heather,Strawberry Hill,42.3724,-71.17448,Entire home/apt,170,264
2215762,"The Clare | The Upton, South End",5430185,Laura And Olivia,Area 2/MIT,42.34303,-71.07305,Entire home/apt,238,69
2223447,HarvardSq. Bright&Quiet 1 BdrApt MONTHLY/LONG TERM,7421025,Doriana,Mid-Cambridge,42.37125,-71.11183,Entire home/apt,95,114
2244415,WORK FROM HOME FLAT- Perfect HARVARD SQUARE,3668535,Jonas,Mid-Cambridge,42.37248,-71.11488,Entire home/apt,369,288
2292495,furnished 1 bed apartment copley #5,9653086,Glenn,Area 2/MIT,42.34125,-71.07604,Entire home/apt,140,303
2319690,Sunny Private Room near Coolidge Corner,9193934,Joyce,Cambridgeport,42.34274,-71.1272,Private room,89,182
2332898,Room/bath in Coolidge Corner,9193934,Joyce,Cambridgeport,42.3424,-71.12574,Private room,99,298
2358105,Charming Apt w Ctr AC TV Wifi nr Tufts Harvard MIT,7918311,Dina,North Cambridge,42.3983414,-71.1038696,Entire home/apt,249,119
2410846,"Sunny Beacon Hill, corner unit top floor",3137257,Local Furnished,East Cambridge,42.35702,-71.06168,Entire home/apt,130,118
2451591,Large Master Bedroom + Full Private Bath,12535522,Mona,Cambridgeport,42.36093,-71.10642,Private room,129,302
2467252,"West Cambridge,  1 or 2 BR in House near Harvard",12617598,Caroline,Neighborhood Nine,42.38137,-71.12917,Private room,125,42
2480744,Sunny room in beautiful home,10961675,Laurie,Strawberry Hill,42.37233,-71.17394,Private room,85,324
2495047,"The Tremont | The Upton, South End",5430185,Laura And Olivia,Area 2/MIT,42.34309,-71.07316,Entire home/apt,224,26
2538983,Spacious 2 bedrooms Apt-Roof deck NO Cleaning fee,13000172,Dan,Cambridgeport,42.35704,-71.10909,Entire home/apt,290,213
2658094,"Beautiful Boston North End spacious Light 2Bd, 1BA-2D",5578043,Dror,East Cambridge,42.36597,-71.05271,Entire home/apt,169,320
2676037,Comfort Apt w Smart TV Wifi nr Tufts Harvard MIT,7918311,Dina,North Cambridge,42.39622,-71.10384,Entire home/apt,265,101
2692752,Country home in the city center.,6501896,Shelley,Cambridgeport,42.36276,-71.10195,Private room,95,0
2701124,Charlesview Suites Back Bay,13822322,Varouj,Area 2/MIT,42.34492,-71.08482,Entire home/apt,280,365
2754975,Perfect Location to Explore Boston,6885890,Jonathan,East Cambridge,42.35902,-71.06296,Entire home/apt,150,21
2864688,Beautiful 3 bedroom 2 bath apt in Charlestown,887148,Dawn,East Cambridge,42.38148,-71.06967,Private room,595,365
2875646,Cozy and bright 1 bed near MIT-Kendall Sq-Harvrd,14649698,Blair,Wellington-Harrington,42.37138,-71.08913,Entire home/apt,93,0
2879039,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,329,3
2914111,Friendly Pleasant Place,14883738,Minga & Jonathan,Cambridgeport,42.36397,-71.10712,Private room,108,0
2926854,Comfortable Private Room (SU2-4),6094,Matt,Wellington-Harrington,42.39387,-71.09093,Private room,71,273
2975163,"4 bedroom family home, Union Sq",3406230,Julie,Agassiz,42.38406,-71.09656,Entire home/apt,300,295
2998559,Cozy Room with kitchenette by Harvard & MIT,11441054,Katy,Strawberry Hill,42.37411,-71.16755,Private room,55,325
3021937,"Large Room in Spacious Apartment, Bikes available",6030020,Jason,Cambridgeport,42.35854148,-71.10955411,Private room,130,335
3104112,"Cozy, bright & private room just mins from Boston",15781289,Jahaida,Wellington-Harrington,42.38466,-71.09588,Private room,114,60
3129309,"N5 TDGarden, Location, Freedom Trail, Lil Italy",3637081,Sarah,East Cambridge,42.36693,-71.05624,Entire home/apt,125,61
3234995,"Lovely, large 3 room apartment",10470174,Maria,West Cambridge,42.37896,-71.12489,Entire home/apt,329,156
3247833,Lovely East Cambridge Apartment,2212429,Jimmy,Wellington-Harrington,42.37032,-71.09317,Entire home/apt,219,227
3257358,Room 2 at Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.3404,-71.12595,Private room,125,144
3316049,Beautiful Junior 1-bedroom apartment,16742781,Jerry,Area 2/MIT,42.345122073511305,-71.06492252,Entire home/apt,210,364
3334098,"WELL-APPOINTED, BRIGHT AND SPACIOUS",5331227,/We Are Kai & Nina,East Cambridge,42.36862,-71.08573,Entire home/apt,319,237
3352446,"West Cambridge 3BR: Pet OK, A/C, backyard, lovely!",3842820,Chris,Strawberry Hill,42.377277,-71.149094,Entire home/apt,499,12
3474824,"Quiet Studio near MIT, Harvard & BU",5074009,Jeff&Liz,Cambridgeport,42.35879,-71.10877,Entire home/apt,168,26
3475883,Queen Bed (Liz) at Waterbridge,1152305,Greg,Strawberry Hill,42.37387,-71.15083,Private room,75,281
3504918,Private Room in Shared Apt (SU1-2),6094,Matt,Wellington-Harrington,42.39389,-71.08931,Private room,69,325
3506058,Harvard/MIT,9270106,Nanette,The Port,42.36965,-71.09932,Private room,156,321
3510127,Harvard/MIT/Single/Private 1/2 Bath,9270106,Nanette,The Port,42.36904,-71.09937,Private room,140,321
3519954,Queen Bed (Victoria) at Waterbridge,1152305,Greg,Strawberry Hill,42.37389,-71.1513,Private room,75,291
3520353,Luxury Beacon Hill Apartment 1-BR,6508758,Xerxes,East Cambridge,42.35884,-71.06332,Entire home/apt,288,205
3538589,Two bedroom third floor apartment,10337757,Bruce & Fariba,Agassiz,42.38332,-71.11479,Entire home/apt,150,32
3590031,Family-Friendly 3+ BDR on the Hill,3146675,Greer,Wellington-Harrington,42.38275,-71.09216,Entire home/apt,375,0
3649162,Walk to MIT or Harvard!  Perfect for a family,18446559,Meredith,Cambridgeport,42.36343,-71.10305,Entire home/apt,180,0
3664031,2 bedroom condo in Downtown Boston,2006852,Jay,East Cambridge,42.3636,-71.05367,Entire home/apt,221,1
3678159,Private room in charming Cambridge apartment,4026958,Robert,Riverside,42.36702713733344,-71.11235366,Private room,109,5
3684345,Lux 2 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,469,365
3740822,Lux 2BR Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,469,365
3749523,Grand Colonial in Historic Boston.,3842205,Nicolo,East Cambridge,42.37358323734141,-71.06308645,Entire home/apt,250,277
3774900,City Oasis |Deck & Yard |Walk To Harvard MIT Train,6823717,Juan Carlos,Cambridgeport,42.36024,-71.11398,Entire home/apt,181,41
3861471,Luxury 3BR Condo near Harvard/MIT with Parking!,11274561,Philip,The Port,42.36583,-71.09803,Entire home/apt,374,179
3890373,Beacon Hill Fabulous One Bedroom Apartment,19357187,Paul,East Cambridge,42.35792,-71.06432,Entire home/apt,150,199
3894437,Lovely Studio in Cambridge -- Great Location,6839881,Lisan,Neighborhood Nine,42.38862,-71.12554,Entire home/apt,122,145
3966829,Sunny Base close to MIT,20414167,Sandra,The Port,42.36636,-71.09965,Entire home/apt,160,90
4031375,A room in spacious 3 bdroom apt,19140459,Gustavo,North Cambridge,42.39605,-71.134,Private room,114,276
4054229,"Ada Lovelace room, small eaved rm in old Victorian",2063272,"Sam, Jesse, And Kaia",Agassiz,42.38686,-71.11057,Private room,60,295
4068377,“Bed & Bar” w/Peloton & Street Parking,405341,Bryan & Marisa,North Cambridge,42.39437,-71.12601,Private room,162,0
4081272,Perfectly Located Davis Sq 2 Bed.,15128917,Elizabeth,North Cambridge,42.39791,-71.1233,Entire home/apt,200,123
4099590,Gorgeous Light-filled 1 BR in Trendy Neighborhood,18118517,Sheila,North Cambridge,42.39761,-71.11403,Entire home/apt,110,308
4109594,Overnight couch space,21321632,Marion,North Cambridge,42.39827,-71.14215,Shared room,50,309
4112094,Cambridge Studio Apartment,404360,Victor,West Cambridge,42.37843,-71.14272,Entire home/apt,135,262
4116478,Great House in Central Square,4578066,Lindsey,Cambridgeport,42.36308,-71.10234,Entire home/apt,350,274
4184365,Comfortable & convenient home,48805,Harris,Agassiz,42.38758,-71.11245,Private room,95,259
4191413,"Quiet, convenient and cozy!",21745933,Frank,Strawberry Hill,42.37782,-71.16104,Entire home/apt,160,214
4209359,1B STUDIO Private entrance WALK HARVARD/MIT,81038,Louisa,Mid-Cambridge,42.3677,-71.10584,Entire home/apt,148,326
4216908,"Quiet home near Porter, Harvard. On Red Line",21885217,Catherine,North Cambridge,42.38983,-71.11918,Entire home/apt,325,0
4235636,Cozy Room in a Charming Townhouse,10427720,Gosia,Strawberry Hill,42.37664,-71.15157,Private room,125,308
4270619,Sunny 3 Bdr corner luxury apartment,21631889,Ling Yi,The Port,42.36935,-71.09845,Entire home/apt,264,270
4276641,"Room 7 at Coolidge Corner, Brooklin",5014042,Yue Jin,Cambridgeport,42.34038,-71.12595,Private room,105,262
4278067,Studio apart Tremont St South End #2,9653086,Glenn,Area 2/MIT,42.34128,-71.07607,Entire home/apt,120,277
4279231,Somerville Private room,9563463,Sara,Wellington-Harrington,42.37574,-71.09909,Private room,120,316
4303606,In the heart of Boston !,21851356,Gustavo,Area 2/MIT,42.35011,-71.06719,Private room,195,309
4311729,"Lovely sunny 2 BD home, great area.  Free Parking",22381726,Wendy,Cambridgeport,42.34777,-71.12354,Entire home/apt,389,299
4338244,"Lux Kendall Square 1 Bedroom w/gym, WiFi",9419684,Churchill,East Cambridge,42.363617,-71.08202,Entire home/apt,399,281
4354741,"Near Tufts, 10 min to Boston",22605486,Laurel,North Cambridge,42.4211,-71.13941,Entire home/apt,200,0
4364925,large & grand 2 bedroom South End by Copley Sq #3,9653086,Glenn,Area 2/MIT,42.34128,-71.07607,Entire home/apt,180,301
4364989,newly furn one bedroom by Copley #6,9653086,Glenn,Area 2/MIT,42.34128,-71.07607,Entire home/apt,135,327
4410765,"Grt Location, Big 3 Bed,Nr all Colleges, Hospitals",9795590,Patrick,West Cambridge,42.35309,-71.14822,Entire home/apt,135,297
4422473,Two quiet rooms in a lovely house,2063272,"Sam, Jesse, And Kaia",Agassiz,42.38497,-71.11113,Private room,140,274
4437529,Lux 2BR Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,469,365
4437789,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,329,3
4448828,Spacious 4 bedroom house at the perfect location!,23087930,Shai,Cambridgeport,42.34698,-71.13149,Entire home/apt,450,0
4455298,Family Friendly 3 Bedroom,21631889,Ling Yi,The Port,42.36896,-71.09846,Entire home/apt,302,169
4461613,Comfy Beacon Hill Studio Great for Work Travel #13,22348222,Maverick,East Cambridge,42.36017,-71.06346,Entire home/apt,226,341
4461846,South End Studio Perfect for Work Travel #36,22348222,Maverick,Area 2/MIT,42.34441,-71.07633,Entire home/apt,188,350
4461901,"Stylish Downtown Studio in the SouthEnd, #8",22348222,Maverick,Area 2/MIT,42.34447,-71.07644,Entire home/apt,216,338
4484068,"Einstein room, cozy Queen bed + desk",2063272,"Sam, Jesse, And Kaia",Agassiz,42.38645,-71.11302,Private room,74,280
4489577,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire home/apt,329,3
4500409,"Stylish Studio in Back Bay, on Newbury St; #1",22348222,Maverick,Area 2/MIT,42.34982,-71.08264,Entire home/apt,222,338
4525875,Charming & Historic 2 bed/2 bath w/ private patio,23462166,Corey,East Cambridge,42.37866,-71.06452,Entire home/apt,399,34
4534572,5BR Home in Cambridge,4781117,Katie,West Cambridge,42.38055,-71.14397,Entire home/apt,529,0
4553903,Contemporary North End Retreat | near T,10850877,Franklin,East Cambridge,42.36582,-71.05722,Entire home/apt,5000,0
4566095,"The Upton South End, The Copley Suite",5430185,Laura And Olivia,Area 2/MIT,42.34301,-71.07304,Entire home/apt,155,28
4573238,Chic furnished 2 bds- best Boston location N. End Boston,5578043,Dror,East Cambridge,42.364253,-71.052626,Entire home/apt,159,328
4580825,Amazing price and location w/ parking  N End (m1s),5578043,Dror,East Cambridge,42.36329,-71.05233,Entire home/apt,195,309
