Track Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","Dreamville,JID,Bas,J. Cole,EARTHGANG,Young Nudy",7/5/19,169146,68,"hip hop,pop rap,rap,underground hip hop,canadian hip hop,queens hip hop,sudanese hip hop,sudanese pop,conscious hip hop,north carolina hip hop,atl hip hop,indie hip hop,psychedelic hip hop,pluggnb,trap",
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),"Dreamville,Ari Lennox,Omen,Ty Dolla $ign,Dreezy",7/5/19,284040,55,"hip hop,pop rap,rap,alternative r&b,chicago rap,r&b,southern hip hop,trap,trap soul,drill,trap queen",
"Ladies, Ladies, Ladies (with JID feat. T.I.)","Dreamville,JID,T.I.",7/5/19,167786,49,"hip hop,pop rap,rap,underground hip hop,atl hip hop,dirty south rap,gangster rap,southern hip hop,trap",
LamboTruck (with Cozz feat. REASON & Childish Major),"Dreamville,Cozz,REASON,Childish Major",7/5/19,229386,51,"hip hop,pop rap,rap,underground hip hop,indie hip hop,canadian hip hop,trap soul",
"Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)","Dreamville,J. Cole,Zoink Gang,KEY!,Maxo Kream",7/5/19,275986,49,"hip hop,pop rap,rap,conscious hip hop,north carolina hip hop,atl trap,underground hip hop,houston rap,melodic rap,trap",
"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)","Dreamville,Omen,Mereba,Deante' Hitchcock,St. Beauty",7/5/19,237853,46,"hip hop,pop rap,rap,chicago rap,alternative r&b,atl hip hop,underground hip hop",
Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),"Dreamville,JID,J. Cole,Vince Staples",7/5/19,151826,50,"hip hop,pop rap,rap,underground hip hop,conscious hip hop,north carolina hip hop",
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),"Dreamville,EARTHGANG,J. Cole,Smino,Saba",7/5/19,382306,70,"hip hop,pop rap,rap,atl hip hop,indie hip hop,psychedelic hip hop,underground hip hop,conscious hip hop,north carolina hip hop,alternative r&b,chicago rap",
Self Love (with Ari Lennox & Bas feat. Baby Rose),"Dreamville,Ari Lennox,Bas,Baby Rose",7/5/19,223013,49,"hip hop,pop rap,rap,alternative r&b,canadian hip hop,queens hip hop,sudanese hip hop,sudanese pop,underground hip hop",
Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),"Dreamville,Lute,Omen,Mez,DaVionne",7/5/19,238453,50,"hip hop,pop rap,rap,indie hip hop,north carolina hip hop,underground hip hop,chicago rap",
Sunset (with J. Cole feat. Young Nudy),"Dreamville,J. Cole,Young Nudy",7/5/19,178373,56,"hip hop,pop rap,rap,conscious hip hop,north carolina hip hop,pluggnb,trap",
Swivel (with EARTHGANG) - From The Album Mirrorland,"Dreamville,EARTHGANG",7/5/19,194613,47,"hip hop,pop rap,rap,atl hip hop,indie hip hop,psychedelic hip hop,underground hip hop",
Under The Sun (with J. Cole & Lute feat. DaBaby),"Dreamville,J. Cole,Lute,DaBaby",7/5/19,202040,76,"hip hop,pop rap,rap,conscious hip hop,north carolina hip hop,indie hip hop,underground hip hop,trap",
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,"Dreamville,JID,EARTHGANG,Buddy,Guapdad 4000",7/5/19,123413,57,"hip hop,pop rap,rap,underground hip hop,atl hip hop,indie hip hop,psychedelic hip hop,alternative r&b,cali rap,canadian hip hop,oakland hip hop,scam rap",
HEAT,Drens,9/27/19,167541,6,"cologne indie,dortmund indie",
Painting Roses,Dresses,10/22/13,185714,0,,
Sun Shy,Dresses,1/1/13,199615,33,,
If You Should Try To Kiss Her,Dressy Bessy,1999,164266,39,"elephant 6,tape club",
Jupiter,"Drewmat,Ollie Joseph",5/21/21,160500,41,,
Nite Time,Drinking Flowers,2/24/17,224200,14,,
Blue From the Dark,DRINKS,4/20/18,182933,34,experimental indie,
Danko/Manuel,Drive-By Truckers,8/24/04,347146,40,"alternative country,folk,heartland rock,new americana,roots rock,southern rock",
Messidona,Driver Friendly,5/20/14,236026,25,,
78,Driveways,10/29/21,294178,30,"easycore,pop punk",
A Button on Your Blouse,Drowners,1/28/14,193199,30,garage rock revival,
Weed Pin,Drug Church,11/2/18,282121,46,"dreamo,emo,indie punk,modern melodic hardcore",
Suddenly,"Drugdealer,Weyes Blood",9/9/16,197040,56,"indie garage rock,neo-psychedelic,psychedelic pop,art pop,chamber pop,experimental folk,experimental pop,indie pop",
Lies,"Drumma Battalion,Abstract,RoZe",5/30/17,169200,32,indie pop rap,
The Last Desperate Stand of the Last Fair Man,Drunken Barn Dance,6/2/09,169920,0,"ann arbor indie,michigan indie",
Epi Pen Pals,Dryjacket,1/13/17,182013,35,"5th wave emo,alternative emo,anthem emo,diy emo,midwest emo",
You Without Me,Dryspell,11/9/18,203592,6,,
IDGAF,Dua Lipa,6/2/17,217946,81,"dance pop,pop,uk pop",
New Rules,Dua Lipa,6/2/17,209320,83,"dance pop,pop,uk pop",
New Rules - Initial Talk Remix,"Dua Lipa,Initial Talk",11/24/17,224549,59,"dance pop,pop,uk pop",
Beach Song,Duck Lake,8/8/23,168313,21,,
Break Up Holiday,Dude York,11/24/17,210186,24,"bubblegrunge,indie punk",
Falling,Dude York,7/26/19,226440,20,"bubblegrunge,indie punk",
Love Is,Dude York,2/24/17,313833,23,"bubblegrunge,indie punk",
Takin' Care of Christmas,Dude York,11/24/17,64840,26,"bubblegrunge,indie punk",
Melt,Duke Dumont,10/2/15,277093,55,"edm,house,pop dance,progressive house,uk dance",
Honeybee,"Dan Zanes,Elizabeth Mitchell",8/27/13,110250,36,"children's folk,children's music,kindie rock",
Coffins,Duncan Fellows,8/25/17,279511,27,austindie,
Cul De Sac,Duncan Fellows,8/25/17,201067,37,austindie,
Fresh Squeezed,Duncan Fellows,8/25/17,209986,41,austindie,
Icarus,Duncan Fellows,5/5/15,226653,30,austindie,
Mt. Silver,Duncan Fellows,5/5/15,225226,22,austindie,
Of All the Ways to Say Goodbye,Duncan Fellows,10/16/20,204149,19,austindie,
Rosalyn (Whenever You Call),Duncan Fellows,8/25/17,262965,29,austindie,
Sleeper,Duncan Fellows,8/25/17,302622,39,austindie,
Swallowing Grains,Duncan Fellows,10/16/20,173233,14,austindie,
Sway,Duncan Fellows,8/25/17,227915,36,austindie,
Tube Today,Duncan Fellows,10/16/20,173206,33,austindie,
Arcade,Duncan Laurence,3/7/19,183624,79,dutch pop,
Barely Breathing,Duncan Sheik,1996,254546,60,pop rock,
Bullshit,Dune Rats,1/20/17,180581,42,"australian garage punk,australian indie,brisbane punk",
Like Before,Dune Rats,1/20/17,178022,26,"australian garage punk,australian indie,brisbane punk",
No Plans,Dune Rats,1/31/20,201001,32,"australian garage punk,australian indie,brisbane punk",
Hungry Like the Wolf - 2009 Remaster,Duran Duran,5/10/82,220626,75,"album rock,dance rock,new romantic,new wave,new wave pop,rock,soft rock,synthpop",
The Breach,Dustin Tebbutt,10/22/14,253848,63,"australian indie,indie anthem-folk,indie folk,modern indie folk",
Son Of A Preacher Man,Dusty Springfield,3/31/69,148053,78,"adult standards,british invasion,soul,vocal jazz",
Come Closer,Dutch Criminal Record,9/8/23,143418,35,portsmouth indie,
You're Welcome,Dwayne Johnson,11/18/16,163893,74,,
No Romeo,Dylan,4/8/22,191026,54,"alt z,singer-songwriter pop,uk pop",
I'll Make You Miss Me All The Time,Dylan Brady,10/19/18,140809,40,"hyperpop,proto-hyperpop",
Too Afraid to Love You,Dylan Gardner,10/24/14,199048,15,la indie,
In My Mind,"Dynoro,Gigi D'Agostino",6/8/18,184560,81,"edm,eurodance,italo dance",
Fade Away,Dzasko,5/26/23,235774,0,,
暁の鐘（Ｅ.サインス・デ・ラ・マーサ）,"E.サインス・デ・ラ・マーサ,Kaori Muraji",12/19/12,228382,4,"classical guitar,japanese classical performance,japanese guitar",
Cocktail,EARTHGANG,2/23/18,185102,39,"atl hip hop,hip hop,indie hip hop,psychedelic hip hop,rap,underground hip hop",
Proud Of U (feat. Young Thug),"EARTHGANG,Young Thug",9/6/19,238200,52,"atl hip hop,hip hop,indie hip hop,psychedelic hip hop,rap,underground hip hop,atl trap,gangster rap,melodic rap,trap",
Belladonna,Echo Frame,4/6/21,203916,20,chill dream pop,
Pipe Dreams,Echo Frame,6/8/21,220847,17,chill dream pop,
Ett (Remixed) [Remastered],ef,8/11/13,241560,18,"instrumental post-rock,nordic post-rock,post-rock",
Final Touch / Hidden Agenda (Remixed) [Remastered],ef,8/11/13,670400,11,"instrumental post-rock,nordic post-rock,post-rock",
"He Came, He Stayed, He Fell (Remixed) [Remastered]",ef,8/11/13,235680,6,"instrumental post-rock,nordic post-rock,post-rock",
Hello Scotland (Remixed) [Remastered],ef,8/11/13,739880,11,"instrumental post-rock,nordic post-rock,post-rock",
Misinform the Uninformed (Remixed) [Remastered],ef,8/11/13,461480,7,"instrumental post-rock,nordic post-rock,post-rock",
bella,EKKSTACY,10/20/23,199466,56,,
Close 2 U (feat. Harvie) (feat. Harvie) - Leon Lour Remix,"EMBRZ,Harvie,Leon Lour",5/25/18,266400,31,"vapor soul,pop edm",
Inside Out,Eve 6,1998,219466,68,"alternative metal,pop rock,post-grunge",
Black Hills,EVNTYD,11/17/21,176986,17,,
Better Better,"EXES,Jome",10/20/17,210731,18,"alt z,indie poptimism,la pop,folk-pop",
Cain,EXES,6/2/17,216000,38,"alt z,indie poptimism,la pop",
Zimt,LissA,2/5/16,212624,0,indie electropop,
Memorize,EXES,10/24/17,216000,23,"alt z,indie poptimism,la pop",
One Day,"EXES,Jome",12/7/18,201142,38,"alt z,indie poptimism,la pop,folk-pop",
Peckham,EXES,10/5/18,221217,24,"alt z,indie poptimism,la pop",
Taxi,EXES,12/15/17,192000,0,"alt z,indie poptimism,la pop",
Twentythousand,EXES,3/30/16,192026,32,"alt z,indie poptimism,la pop",
The Light,Fahlberg,10/21/22,505576,31,afro house,
Alien,E^ST,9/19/18,188813,25,"australian indie,australian pop",
Blowjob,E^ST,3/20/18,212533,19,"australian indie,australian pop",
Friends,E^ST,10/26/18,195953,41,"australian indie,australian pop",
Life Goes On,E^ST,9/29/17,210455,49,"australian indie,australian pop",
Save Tonight,Eagle-Eye Cherry,1/1/98,242733,74,pop rock,
Hotel California - 2013 Remaster,Eagles,12/8/76,391376,85,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
Hotel California - 2013 Remaster,Eagles,12/8/76,391376,85,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
Life in the Fast Lane - 2013 Remaster,Eagles,12/8/76,286219,73,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
New Kid in Town - 2013 Remaster,Eagles,12/8/76,304925,68,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
Please Come Home for Christmas - 2013 Remaster,Eagles,11/27/78,177440,79,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
Take It Easy - 2013 Remaster,Eagles,6/1/72,211577,81,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
Take It Easy - 2013 Remaster,Eagles,6/1/72,211577,81,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
Tequila Sunrise - 2013 Remaster,Eagles,4/17/73,173056,71,"album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock",
Chum,Earl Sweatshirt,8/16/13,243773,62,"alternative hip hop,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop",
Guild (feat. Mac Miller),"Earl Sweatshirt,Mac Miller",8/16/13,233720,47,"alternative hip hop,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop,pittsburgh rap,pop rap",
Hive (feat. Vince Staples & Casey Veggies),"Earl Sweatshirt,Vince Staples,Casey Veggies",8/16/13,277240,58,"alternative hip hop,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop,conscious hip hop",
Apple Cider,Early Eyes,10/26/18,149351,35,minneapolis indie,
Coffee,Early Eyes,1/8/18,168752,46,minneapolis indie,
Holding Hands,Early Eyes,10/26/18,232065,26,minneapolis indie,
Penelope,Early Eyes,6/15/18,236634,43,minneapolis indie,
Take You,Early Eyes,5/19/17,155474,36,minneapolis indie,
Waste of Time,Early Eyes,3/24/17,191428,35,minneapolis indie,
Smells Like Summer,Early Hours,3/28/16,249800,37,south african rock,
Keep My Mouth Out Of Your Name,Early Internet,7/21/23,182026,30,,
Flower,Steven Goldmund,5/19/19,278732,30,background music,
September,"Earth, Wind & Fire",11/23/78,215093,77,"disco,funk,jazz funk,soul",
Santa Baby,Eartha Kitt,3/15/11,206506,77,"torch song,vocal jazz",
Santa Baby,Eartha Kitt,3/15/11,206506,77,"torch song,vocal jazz",
Apparent Lushness,Earthen Sea,2/17/17,222733,23,experimental ambient,
Delicately in the Sunlight,Earthen Sea,2/17/17,187693,22,experimental ambient,
See the Sunlight,Earthware,6/9/23,218062,10,,
Orbiter,Easy Honey,1/27/23,174138,36,,
Closer To The Sun,Eat Your Heart Out,5/17/19,157480,20,pixie,
Lips Like Sugar,Echo & the Bunnymen,7/6/87,291866,55,"alternative rock,new romantic,new wave,permanent wave",
Bright,Echosmith,10/4/13,220626,59,"electropop,indie poptimism,viral pop",
Come Together,Echosmith,10/4/13,280933,40,"electropop,indie poptimism,viral pop",
Come with Me,Echosmith,10/4/13,252493,31,"electropop,indie poptimism,viral pop",
Cool Kids,Echosmith,10/4/13,237626,74,"electropop,indie poptimism,viral pop",
Future Me,Echosmith,8/18/17,205973,31,"electropop,indie poptimism,viral pop",
Let's Love,Echosmith,10/4/13,182786,34,"electropop,indie poptimism,viral pop",
Lonely Generation,Echosmith,1/10/20,206045,34,"electropop,indie poptimism,viral pop",
March into the Sun,Echosmith,10/4/13,202106,33,"electropop,indie poptimism,viral pop",
Nothing's Wrong,Echosmith,10/4/13,214186,30,"electropop,indie poptimism,viral pop",
Ran Off in the Night,Echosmith,10/4/13,264040,27,"electropop,indie poptimism,viral pop",
Safest Place,Echosmith,10/4/13,255533,29,"electropop,indie poptimism,viral pop",
Surround You,Echosmith,10/4/13,208253,38,"electropop,indie poptimism,viral pop",
Talking Dreams,Echosmith,10/4/13,189573,32,"electropop,indie poptimism,viral pop",
Tell Her You Love Her,Echosmith,10/4/13,246653,44,"electropop,indie poptimism,viral pop",
Tell Her You Love Her,Echosmith,10/4/13,246653,44,"electropop,indie poptimism,viral pop",
Up to You,Echosmith,10/4/13,227466,28,"electropop,indie poptimism,viral pop",
Up to You,Echosmith,10/4/13,227466,28,"electropop,indie poptimism,viral pop",
We're Not Alone,Echosmith,10/4/13,247853,27,"electropop,indie poptimism,viral pop",
We're Not Alone - Remix,"Peeping Tom,Dub Trio",5/30/06,310172,31,funk metal,
Hidden Spaces,EchoWave,9/30/22,248000,19,,
Sad Dream,EchoWave,3/10/23,220188,42,,
Antisocial (with Travis Scott),"Ed Sheeran,Travis Scott",7/12/19,161746,64,"pop,singer-songwriter pop,uk pop,hip hop,rap,slap house",
Beautiful People (feat. Khalid),"Ed Sheeran,Khalid",6/28/19,197866,73,"pop,singer-songwriter pop,uk pop,pop r&b",
Castle on the Hill,Ed Sheeran,3/3/17,261153,81,"pop,singer-songwriter pop,uk pop",
Celestial,Ed Sheeran,9/29/22,209026,76,"pop,singer-songwriter pop,uk pop",
Don't,Ed Sheeran,6/21/14,219840,73,"pop,singer-songwriter pop,uk pop",
Drunk,Ed Sheeran,9/9/11,200093,65,"pop,singer-songwriter pop,uk pop",
Galway Girl,Ed Sheeran,3/3/17,170826,81,"pop,singer-songwriter pop,uk pop",
Give Me Love,Ed Sheeran,9/9/11,526386,73,"pop,singer-songwriter pop,uk pop",
I Don't Care (with Justin Bieber),"Ed Sheeran & Justin Bieber,Justin Bieber",5/10/19,219946,78,"canadian pop,pop",
Kiss Me,Ed Sheeran,9/9/11,280853,70,"pop,singer-songwriter pop,uk pop",
Lego House,Ed Sheeran,9/9/11,185093,75,"pop,singer-songwriter pop,uk pop",
Merry Christmas,"Ed Sheeran,Elton John",12/3/21,208546,79,"pop,singer-songwriter pop,uk pop,glam rock,mellow gold,piano rock,rock",
Perfect,Ed Sheeran,3/3/17,263400,89,"pop,singer-songwriter pop,uk pop",
Photograph,Ed Sheeran,6/21/14,258986,86,"pop,singer-songwriter pop,uk pop",
Shape of You - Galantis Remix,"Ed Sheeran,Galantis",2/10/17,195988,50,"pop,singer-songwriter pop,uk pop,dance pop,edm,pop dance",
Small Bump,Ed Sheeran,9/9/11,259413,63,"pop,singer-songwriter pop,uk pop",
South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran,Camila Cabello,Cardi B",7/12/19,204466,76,"pop,singer-songwriter pop,uk pop,dance pop,rap",
South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran,Camila Cabello,Cardi B",7/12/19,204466,76,"pop,singer-songwriter pop,uk pop,dance pop,rap",
Take Me Back to London (feat. Stormzy),"Ed Sheeran,Stormzy",7/12/19,189733,65,"pop,singer-songwriter pop,uk pop,grime,uk hip hop",
Tenerife Sea,Ed Sheeran,6/21/14,241346,69,"pop,singer-songwriter pop,uk pop",
The A Team,Ed Sheeran,9/9/11,258373,76,"pop,singer-songwriter pop,uk pop",
The City,Ed Sheeran,9/9/11,234333,50,"pop,singer-songwriter pop,uk pop",
Thinking out Loud,Ed Sheeran,6/21/14,281560,85,"pop,singer-songwriter pop,uk pop",
This,Ed Sheeran,9/9/11,195840,53,"pop,singer-songwriter pop,uk pop",
U.N.I.,Ed Sheeran,9/9/11,228600,54,"pop,singer-songwriter pop,uk pop",
Wake Me Up,Ed Sheeran,9/9/11,229613,54,"pop,singer-songwriter pop,uk pop",
"You Need Me, I Don't Need You",Ed Sheeran,9/9/11,220413,63,"pop,singer-songwriter pop,uk pop",
Passing By the Graveyard,Eddie Money,1983,187066,30,"album rock,classic rock,country rock,glam metal,hard rock,mellow gold,soft rock,southern rock",
Take Me Home Tonight,Eddie Money,10/15/86,211160,71,"album rock,classic rock,country rock,glam metal,hard rock,mellow gold,soft rock,southern rock",
Eden - Gfx909 Dark Version,"DJNico vlp,Planet Project,Gfx909",4/28/17,320000,0,,
Billie Jean,Chris Cornell,1/1/07,281373,53,"alternative metal,alternative rock,grunge,hard rock,post-grunge,rock",
Fumes,Eden Project,2014,211565,46,,
Gravity Falls Main Theme (From Gravity Falls),Geek Music,2/22/21,137613,50,theme,
XO,EDEN,8/19/16,159512,65,indie poptimism,
about time,EDEN,6/29/18,194823,40,indie poptimism,
Eden,"Edwin Pearson,Peter Delafose,Fomadd",7/19/21,63158,53,,
crash,EDEN,1/19/18,232412,61,indie poptimism,
Eden,Dr.DIO,9/6/23,238000,24,,
"love, death, distraction",EDEN,12/6/19,257045,35,indie poptimism,
Eden,"NoMBe,Geneva White",3/23/18,242453,44,vapor soul,
Rock And Roll,"Edan,Dagha",3/14/05,196106,28,"abstract hip hop,alternative hip hop,psychedelic hip hop,jazz rap",
Eden,"Edwin Pearson,Peter Delafose,Fomadd",7/19/21,63158,53,,
Eden,Aron Edwards,3/25/22,147874,46,background piano,
Misery,Edgewood Heavy,10/6/23,190681,8,,
What I Am,Edie Brickell & New Bohemians,1/1/88,296360,59,"ectofolk,lilith,new wave pop",
Civil War,Edison,6/7/16,269922,0,,
Clown Show,Ednaswap,1/1/97,284226,19,,
Torn,Ednaswap,1/1/97,238800,44,,
"Swan Lake Suite, Op. 20: Scène",London Philharmonic Orchestra,9/15/05,181666,44,"british orchestra,orchestra",
24 Preludes: No. 1 in C Major,"Eduard Bagdasarian,Mikael Ayrapetyan",6/3/14,87253,3,"caucasian classical,caucasian classical piano",
"Lyric Pieces, Book 1, Op. 12: Arietta","Edvard Grieg,Einar Steen-Nøkleberg",12/15/95,83226,66,"classical,late romantic era,norwegian classical,nordic classical piano",
40 Day Dream,Edward Sharpe & The Magnetic Zeros,7/12/09,233586,51,"la indie,stomp and holler",
Home,Edward Sharpe & The Magnetic Zeros,7/12/09,306320,75,"la indie,stomp and holler",
Home - Remastered,Edward Sharpe & The Magnetic Zeros,7/13/09,306373,39,"la indie,stomp and holler",
I'll Be,Edwin McCain,1997,266533,69,"neo mellow,pop rock",
Fields of Gold - Guitar Solo,Edy Hafler,4/23/21,140560,42,acoustic guitar cover,
Time after Time - Guitar Solo,Edy Hafler,4/23/21,212031,48,acoustic guitar cover,
narrow,楠木 ともり,5/24/23,292120,15,"anime,seiyu",
been.hurt,eery,5/11/18,148266,26,"lo-fi beats,lo-fi rap",
sorry haha i fell asleep,Egg,12/12/19,157522,58,"pixel,pov: indie",
Google Earth,eisenach,6/5/19,149000,27,,
A Song for the Birds,Eisley,2/17/17,241393,29,"indie pop,piano rock",
Beautiful Little Fools,Jorja Smith,3/8/17,216497,43,"r&b,uk contemporary r&b",
Fault Line,Meeka Kates,4/7/17,220183,52,,
Big Stonëz,Yeat,6/10/21,167314,54,"pluggnb,rage rap",
Not Much Of A Life,SALEM,10/30/20,212416,36,"grave wave,witch house",
Lauren (I Can't Stay Forever),Oden & Fatzo,10/8/21,200550,68,,
Tender,sinnr,9/28/22,127084,48,lo-fi study,
Tennessee Whiskey,Chris Stapleton,5/4/15,293293,84,"contemporary country,outlaw country",
What Did You Think,Marisa McKaye,6/1/21,170049,6,,
Feel so Fine,El Goodo,3/1/10,237493,30,welsh indie,
My Only Swerving,El Ten Eleven,9/20/05,314586,48,"american post-rock,instrumental post-rock,post-rock",
A Slow Comfortable Deep Breath,Elder Brother,3/11/14,122398,9,"alternative emo,anthem emo,pop punk",
Any Sort of Plan,Elder Brother,3/11/14,137041,15,"alternative emo,anthem emo,pop punk",
Heavy Head,Elder Brother,3/11/14,205090,17,"alternative emo,anthem emo,pop punk",
Lightning Bug,Elder Brother,3/11/14,222185,12,"alternative emo,anthem emo,pop punk",
Pennsylvania,Elder Brother,3/11/14,185199,20,"alternative emo,anthem emo,pop punk",
Throw Me to the Wolves,Elder Brother,3/11/14,234475,29,"alternative emo,anthem emo,pop punk",
Weak Days,Elder Brother,5/18/18,304082,28,"alternative emo,anthem emo,pop punk",
Who's Gonna Carry You Home?,Elder Brother,3/11/14,214106,30,"alternative emo,anthem emo,pop punk",
Good Times,Elderbrook,9/1/17,194224,46,uk dance,
Dear to Me,Electric Guest,3/31/17,241480,48,"indietronica,la indie",
This Head I Hold,Electric Guest,4/23/12,175773,64,"indietronica,la indie",
Don't Bring Me Down,Electric Light Orchestra,5/31/79,243373,75,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",
Evil Woman,Electric Light Orchestra,11/4/02,258906,1,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",
Livin' Thing,Electric Light Orchestra,9/1/76,212306,73,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",
Mr. Blue Sky,Electric Light Orchestra,1977,303373,81,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",
Turn to Stone,Electric Light Orchestra,1977,229093,64,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",
Sebastian Bauer,Elephant Jake,3/17/17,246752,17,diy emo,
Troubled,"Elephante,Deb’s Daughter",6/15/18,207272,34,"pop dance,pop edm",
Call Me,Elevator Fight Club,8/10/18,224000,42,,
The World Is Ours,Eleven Past One,11/7/14,235906,35,,
Going Back Where I Belong,Elise LeGrow,2/16/18,148086,21,,
Glitter,Eliza McLamb,9/20/23,186122,37,gen z singer-songwriter,
B.O.T.A. (Baddest Of Them All) - Edit,"Eliza Rose,Interplanetary Criminal",8/12/22,226626,78,"house,breaks,experimental house",
It Can't Be True,"Elizabeth Gillies,Caitlin Gann,13 Original Broadway Cast",9/30/08,215373,31,,
Snow In Venice,Elizaveta,2012,208573,24,deep indie singer-songwriter,
Avenue,Twinklehead,6/12/06,161746,25,,
I've Got My Love To Keep Me Warm,"Ella Fitzgerald,Louis Armstrong",2/25/57,189040,53,"adult standards,jazz,jazz blues,soul,swing,vocal jazz,dixieland,harlem renaissance,jazz trumpet,new orleans jazz",
We Three Kings - Remastered 2006,Ella Fitzgerald,1/1/09,127333,16,"adult standards,jazz,jazz blues,soul,swing,vocal jazz",
What Are You Doing New Year's Eve?,Ella Fitzgerald,1/1/60,212106,68,"adult standards,jazz,jazz blues,soul,swing,vocal jazz",
Just One Way,Ella Riot,3/27/11,252333,2,ann arbor indie,
00000 Million - Recorded at Spotify Studios NYC,Ella Vos,4/5/17,170342,38,"alt z,electropop,indie electropop,indie poptimism,la pop",
I Know You Care,Ella Vos,11/17/17,202178,0,"alt z,electropop,indie electropop,indie poptimism,la pop",
In Your Corner,Ella Vos,11/17/17,198619,26,"alt z,electropop,indie electropop,indie poptimism,la pop",
Little Brother,Ella Vos,11/17/17,215346,33,"alt z,electropop,indie electropop,indie poptimism,la pop",
Rearrange,Ella Vos,11/17/17,186455,0,"alt z,electropop,indie electropop,indie poptimism,la pop",
White Noise,Ella Vos,11/17/17,222733,42,"alt z,electropop,indie electropop,indie poptimism,la pop",
White Noise,Ella Vos,11/17/17,222733,42,"alt z,electropop,indie electropop,indie poptimism,la pop",
You Don't Know About Me,Ella Vos,11/17/17,188362,35,"alt z,electropop,indie electropop,indie poptimism,la pop",
Burn,Ellie Goulding,1/1/14,231211,67,"indietronica,metropopolis,pop,uk pop",
Close To Me,"Ellie Goulding,Diplo,Swae Lee",7/17/20,182626,66,"indietronica,metropopolis,pop,uk pop,dance pop,edm,electro house,moombahton,pop dance,melodic rap,rap,trap",
Hate Me (with Juice WRLD),"Ellie Goulding,Juice WRLD",6/26/19,186223,75,"indietronica,metropopolis,pop,uk pop,chicago rap,melodic rap,rap",
How Long Will I Love You,Ellie Goulding,10/12/12,154440,74,"indietronica,metropopolis,pop,uk pop",
My Blood,Ellie Goulding,1/1/12,234184,71,"indietronica,metropopolis,pop,uk pop",
Starry Eyed,Ellie Goulding,1/1/10,176613,56,"indietronica,metropopolis,pop,uk pop",
Body Down,Elliot Root,3/1/15,330710,22,hopebeat,
"June, After Dark",Elliot Root,5/18/15,219133,51,hopebeat,
Punks and Poets,Elliot Root,3/1/15,243646,40,hopebeat,
Angel In The Snow,Elliott Smith,1/1/07,158360,44,"alternative rock,indie rock,melancholia,singer-songwriter",
Between The Bars,Elliott Smith,2/25/97,141280,68,"alternative rock,indie rock,melancholia,singer-songwriter",
Somebody That I Used To Know,Elliott Smith,1/1/00,129333,59,"alternative rock,indie rock,melancholia,singer-songwriter",
Son Of Sam,Elliott Smith,4/18/00,184293,36,"alternative rock,indie rock,melancholia,singer-songwriter",
Pretty Take,Elm From Arm,6/10/08,255051,0,ann arbor indie,
Fuck Your Money,Elohim,4/27/18,175433,36,"electropop,indie poptimism,la pop",
She Talks Too Much,Elohim,5/20/16,223405,21,"electropop,indie poptimism,la pop",
Sleepy Eyes,"Elohim,Whethan",4/26/19,202886,38,"electropop,indie poptimism,la pop,hyperpop,rage rap",
Blue,Elsdeer,9/15/22,261840,27,,
Bennie And The Jets - Remastered 2014,Elton John,10/5/73,322548,76,"glam rock,mellow gold,piano rock,rock",
Candle In The Wind,Elton John,11/6/95,228933,49,"glam rock,mellow gold,piano rock,rock",
Don't Go Breaking My Heart,"Elton John,Kiki Dee",10/24/75,275440,81,"glam rock,mellow gold,piano rock,rock,classic uk pop",
Hold Me Closer,"Elton John,Britney Spears",8/26/22,202245,78,"glam rock,mellow gold,piano rock,rock,dance pop,pop",
I'm Still Standing,Elton John,5/30/83,183440,86,"glam rock,mellow gold,piano rock,rock",
