Gender,Age,Country,100 Grand Bar,Any full-sized candy bar,Bottle Caps,Box'o'Raisins,Butterfinger,Candy Corn,Dots,Glow sticks,Gummy Bears,Heath Bar,Hershey's Dark Chocolate,Hershey’s Milk Chocolate,Jolly Ranchers,Junior Mints,Kit Kat,LaffyTaffy,LemonHeads,Mike and Ike,Milky Way,Regular M&Ms,Peanut M&M’s,Nerds,Pencils,Reese’s Peanut Butter Cups,Rolos,Skittles,Snickers,Sourpatch Kids ,Starburst,Swedish Fish,Three Musketeers,
Male,64,USA,JOY,JOY,DESPAIR,JOY,JOY,,MEH,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,
I'd rather not say,59,USA,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,
Male,48,US,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,
Female,54,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,36,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,45,uk,,JOY,DESPAIR,DESPAIR,,,,MEH,MEH,MEH,MEH,MEH,MEH,,JOY,MEH,,,MEH,JOY,,,DESPAIR,JOY,JOY,MEH,JOY,,JOY,,,
Male,33,Canada,MEH,JOY,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,
Male,37,United States,MEH,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,
Female,49,United States,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,
Male,48,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,25,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,34,united states,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,MEH,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,
Male,35,USA,JOY,JOY,MEH,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,
Male,38,United States,,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,
Male,58,USA,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,
Male,48,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,35,USA,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,
Male,50,USA,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,MEH,MEH,MEH,JOY,
Female,33,Usa,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,
Male,47,USA,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,
Male,16,United States ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,52,United States,JOY,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,
Male,33,Usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,63,United States,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,JOY,
Male,34,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,48,United staes,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,
Male,52,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,52,United Kingdom,,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,MEH,JOY,
Male,65,US,DESPAIR,MEH,,DESPAIR,JOY,MEH,,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,,,,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,,JOY,JOY,JOY,
Female,45,usa,JOY,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,,,,,,,,,
Male,41,USA,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,
Male,27,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,47,Usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,47,United States,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,
Male,44,United States of America,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,MEH,JOY,
Male,49,United States,MEH,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,JOY,
Male,31,United States,JOY,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,
Male,59,US,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,
Female,50,United States,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,
Male,34,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,34,USA,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,MEH,JOY,JOY,MEH,MEH,JOY,
Male,61,usa,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,
Female,44,Canada,MEH,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,
Male,46,UAE,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,MEH,JOY,MEH,MEH,JOY,MEH,JOY,MEH,MEH,MEH,JOY,DESPAIR,JOY,MEH,JOY,MEH,MEH,JOY,JOY,,
Male,54,USA,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,MEH,MEH,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,
Male,56,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,43,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,41,USA ,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,MEH,
Female,46,USA,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,
Female,50,USA,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,
Female,42,Usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,62,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,37,USA,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,
Male,45,USA,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,,MEH,JOY,
Male,53,USA,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,
Female,62,USA,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,
Female,40,Canada,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,
Female,40,United States ,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,
Male,29,USA,JOY,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,,JOY,JOY,JOY,JOY,JOY,MEH,
Male,33,United States,JOY,JOY,MEH,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,
Male,34,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,42,Canada,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,
Male,48,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,39,England,,,,,,,,,,,,,,,,,,,JOY,JOY,JOY,MEH,,MEH,JOY,JOY,JOY,,MEH,,,
Male,36,United States,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,JOY,JOY,JOY,MEH,
Male,38,USA,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,
Female,32,USA,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,MEH,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,
Male,48,Usa,JOY,JOY,MEH,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,
Male,33,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,38,United States,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,
Male,37,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,44,United States,JOY,JOY,MEH,MEH,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,
Male,31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,48,Canada,,JOY,,DESPAIR,MEH,DESPAIR,,JOY,JOY,,DESPAIR,MEH,,MEH,JOY,,,,JOY,MEH,JOY,,JOY,JOY,JOY,MEH,JOY,,MEH,JOY,JOY,
Male,37,United Kingdom,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,
Male,28,United States,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,MEH,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,
Female,45,canada,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,
Male,42,USA,MEH,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,DESPAIR,JOY,MEH,MEH,JOY,MEH,MEH,JOY,MEH,
Male,69,USA,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,
Male,50,United States,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,
Male,64,usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,42,Usa,,JOY,JOY,DESPAIR,JOY,JOY,MEH,,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,,JOY,,JOY,JOY,JOY,JOY,,DESPAIR,
Female,35,USA,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,
Female,44,US,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,44,United States,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,
Male,42,US,JOY,JOY,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,JOY,MEH,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,MEH,DESPAIR,MEH,
Male,43,Canada,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,
Female,37,USA,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,
Male,47,us,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,
Female,50,US,MEH,JOY,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,
Male,67,USA,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,
Female,33,USA ,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,
Female,39,United States,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,MEH,DESPAIR,
Male,30,canada ,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,
