ID,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,temperature,weather_description,Traffic_Level,Distance (km),Delivery Duration
BE78,4.5,Snack,scooter,19.42,mist,Very High,21.49,55.98
35A2,4.6,Drinks,motorcycle,26.53,mist,Very Low,3.19,22.03
416F,4.9,Snack,electric_scooter,18.05,scattered clouds,High,25.68,51.67
A4F5,5.0,Snack,electric_scooter,24.99,mist,Low,6.51,23.92
A4EB,4.8,Drinks,motorcycle,20.3,mist,Moderate,5.39,34.6
D4DA,5.0,Buffet,motorcycle,21.83,clear sky,High,16.06,40.07
B59B,4.5,Drinks,motorcycle,27.03,smoke,High,16.04,58.03
4F73,5.0,Drinks,scooter,24.94,mist,Low,5.75,28.97
6A7,4.6,Drinks,scooter,17.88,clear sky,High,18.0,48.17
ADAE,4.6,Snack,motorcycle,21.34,broken clouds,High,16.25,48.72
B785,3.9,Snack,motorcycle,25.76,smoke,Very High,19.35,67.17
8366,4.6,Buffet,motorcycle,18.1,broken clouds,Low,7.95,20.72
8F58,4.6,Buffet,motorcycle,22.9,clear sky,Low,5.17,14.48
247C,4.8,Drinks,scooter,18.2,broken clouds,Low,5.01,26.2
43B9,4.8,Meal,motorcycle,21.25,broken clouds,High,13.4,38.15
9E8A,4.7,Snack,scooter,19.13,clear sky,High,17.74,47.28
1B40,4.2,Snack,motorcycle,18.3,broken clouds,High,13.89,45.15
B4FB,4.7,Meal,motorcycle,18.25,broken clouds,High,15.77,43.18
B50,4.3,Meal,scooter,19.62,haze,Low,4.79,14.05
3376,4.8,Snack,motorcycle,27.03,smoke,Low,4.15,25.88
BECB,4.9,Drinks,motorcycle,23.26,clear sky,Moderate,9.49,30.05
4357,5.0,Drinks,motorcycle,17.31,clear sky,Very High,27.88,57.98
1486,4.6,Meal,motorcycle,22.66,clear sky,Moderate,13.05,30.07
5B70,4.6,Snack,electric_scooter,19.37,mist,High,16.67,50.87
3.00E+21,4.6,Buffet,motorcycle,26.97,smoke,Moderate,7.29,34.95
26D4,4.9,Buffet,scooter,21.23,broken clouds,Very High,21.83,55.93
B20F,4.6,Drinks,electric_scooter,21.05,broken clouds,Very High,26.45,70.78
7ADA,4.7,Drinks,scooter,20.12,haze,High,37.48,55.47
C4B3,4.9,Drinks,motorcycle,17.95,mist,Low,3.9,24.68
2A01,4.7,Drinks,motorcycle,26.53,mist,Very Low,3.19,22.03
6357,4.5,Buffet,scooter,26.49,smoke,High,16.18,51.43
9C2A,5.0,Meal,scooter,19.8,haze,Very Low,2.43,7.32
31BD,4.8,Buffet,scooter,20.3,mist,Low,4.97,25.7
970A,4.5,Buffet,motorcycle,19.31,clear sky,Moderate,10.54,32.17
2675,4.4,Drinks,scooter,26.47,broken clouds,Very High,25.39,105.95
A200,4.7,Drinks,motorcycle,22.85,clear sky,High,22.18,53.6
9BF9,4.4,Drinks,motorcycle,19.08,clear sky,High,12.92,40.72
555D,4.6,Snack,motorcycle,17.26,clear sky,High,16.74,41.52
5BD9,4.8,Buffet,scooter,26.85,smoke,Moderate,8.46,36.95
B2E9,4.2,Meal,electric_scooter,17.14,haze,Moderate,11.1,26.98
8633,4.6,Buffet,electric_scooter,26.93,smoke,Low,4.33,27.3
4C34,4.5,Drinks,motorcycle,23.29,clear sky,Moderate,9.44,36.42
A998,4.5,Snack,motorcycle,19.63,haze,Very Low,1.78,13.5
5EFD,4.9,Snack,motorcycle,18.05,broken clouds,Very Low,3.09,12.67
8D83,4.7,Buffet,motorcycle,21.24,broken clouds,High,12.95,40.22
8A06,4.8,Buffet,scooter,17.6,clear sky,High,20.31,44.82
5A2D,4.8,Snack,scooter,26.47,mist,Moderate,9.27,36.82
4C1,4.6,Drinks,scooter,19.22,fog,Very High,24.91,78.67
83EA,4.5,Buffet,motorcycle,17.67,clear sky,Low,12.24,17.82
2185,4.9,Snack,scooter,18.91,clear sky,Very High,20.33,65.17
1.20E+08,3.9,Meal,electric_scooter,17.21,clear sky,High,19.02,39.5
5956,4.5,Meal,motorcycle,17.11,haze,Low,4.38,17.45
CEE,4.6,Drinks,scooter,19.72,mist,High,12.6,57.88
5A07,4.7,Drinks,motorcycle,17.97,scattered clouds,High,12.84,46.75
340F,4.6,Buffet,scooter,22.9,clear sky,High,14.85,35.05
8094,4.0,Drinks,motorcycle,19.65,mist,Very High,15.48,63.75
3241,4.8,Drinks,motorcycle,23.23,clear sky,Low,7.48,27.4
A176,5.0,Buffet,scooter,21.28,broken clouds,Moderate,10.42,29.53
C8C7,4.5,Meal,motorcycle,22.99,haze,Moderate,9.77,26.92
AA97,4.1,Snack,motorcycle,17.77,clear sky,High,18.75,38.92
A64C,4.8,Meal,electric_scooter,19.21,clear sky,Low,2.89,11.22
7DF5,4.1,Buffet,motorcycle,19.39,mist,Moderate,7.03,26.07
869E,4.8,Meal,scooter,17.65,clear sky,Moderate,14.22,26.23
7725,3.7,Meal,motorcycle,18.91,clear sky,Very High,20.33,61.17
B6D2,4.7,Drinks,scooter,17.69,clear sky,Low,4.57,21.85
6EDB,3.8,Meal,scooter,19.42,clear sky,High,22.85,42.83
AAB4,4.9,Buffet,motorcycle,26.45,scattered clouds,Very High,22.56,71.28
AABD,4.7,Buffet,motorcycle,19.47,haze,High,11.89,39.83
C873,4.0,Drinks,motorcycle,23.01,haze,Very High,22.34,58.0
1494,4.0,Meal,motorcycle,18.36,scattered clouds,High,19.48,34.43
1875,4.9,Drinks,scooter,25.15,mist,High,21.2,54.8
2AF5,4.8,Meal,motorcycle,25.01,mist,Moderate,11.5,31.2
97B6,4.8,Snack,motorcycle,23.39,clear sky,Moderate,9.79,29.97
A56E,4.9,Meal,motorcycle,19.49,mist,Moderate,6.02,27.95
AA3F,4.3,Drinks,scooter,26.41,broken clouds,Very High,21.13,84.27
996B,4.8,Drinks,motorcycle,21.16,broken clouds,Very High,20.65,63.62
C595,4.6,Meal,motorcycle,7.86,clear sky,Very High,23.51,73.88
6BFB,4.6,Snack,scooter,26.9,smoke,Moderate,9.08,38.82
7E1F,4.9,Drinks,motorcycle,17.72,clear sky,High,11.34,45.3
1DB4,4.2,Meal,motorcycle,18.98,clear sky,Moderate,11.91,30.0
2258,4.7,Snack,motorcycle,20.14,haze,Moderate,10.76,26.75
1FD6,4.7,Meal,motorcycle,17.06,haze,Moderate,8.44,25.48
6DE1,4.2,Drinks,motorcycle,19.52,mist,Moderate,6.48,37.47
8B39,2.6,Drinks,motorcycle,22.47,clear sky,High,20.94,47.52
997B,4.3,Meal,motorcycle,23.99,clear sky,Very High,31.21,69.65
CDB6,4.6,Buffet,motorcycle,16.78,mist,Very High,22.42,62.45
5A7A,5.0,Buffet,scooter,26.4,scattered clouds,Very High,24.59,86.82
6DE3,4.9,Meal,motorcycle,19.48,clear sky,Very High,25.93,59.68
E27A,4.9,Drinks,scooter,23.99,mist,Very High,28.78,66.3
AB52,4.8,Drinks,scooter,25.17,mist,Very High,24.97,62.85
4632,4.6,Buffet,motorcycle,26.45,scattered clouds,Very High,21.18,78.05
4B8A,4.7,Drinks,scooter,26.86,smoke,Very High,27.92,73.97
1623,4.8,Meal,motorcycle,17.09,haze,Low,6.95,17.27
7EA,4.4,Drinks,motorcycle,23.29,clear sky,Low,7.54,28.37
4DFA,4.0,Snack,motorcycle,19.49,mist,Low,3.2,19.9
A667,4.5,Meal,motorcycle,26.41,mist,Low,2.38,17.58
6E9D,4.0,Buffet,motorcycle,26.31,mist,High,9.62,41.87
